Input_Player_ID,Input_Role,Target_GoldDiff_5_mean,Target_GoldDiff_5_std,Target_XpDiff_5_mean,Target_XpDiff_5_std,Target_CsDiff_5_mean,Target_CsDiff_5_std,Target_GoldDiff_10_mean,Target_GoldDiff_10_std,Target_XpDiff_10_mean,Target_XpDiff_10_std,Target_CsDiff_10_mean,Target_CsDiff_10_std,Target_GoldDiff_15_mean,Target_GoldDiff_15_std,Target_XpDiff_15_mean,Target_XpDiff_15_std,Target_CsDiff_15_mean,Target_CsDiff_15_std,Target_GoldDiff_20_mean,Target_GoldDiff_20_std,Target_XpDiff_20_mean,Target_XpDiff_20_std,Target_CsDiff_20_mean,Target_CsDiff_20_std,Target_EarlyTakedowns_mean,Target_EarlyTakedowns_std,Target_LaneCsBefore10_mean,Target_LaneCsBefore10_std,Target_DmgTotal_mean,Target_DmgTotal_std,Target_DmgPhys_mean,Target_DmgPhys_std,Target_DmgMagic_mean,Target_DmgMagic_std,Target_DmgTrue_mean,Target_DmgTrue_std,Target_DmgTurret_mean,Target_DmgTurret_std,Target_DmgObj_mean,Target_DmgObj_std,Target_TotalCS_mean,Target_TotalCS_std,Target_GoldEarned_mean,Target_GoldEarned_std,Target_DragonTakedowns_mean,Target_DragonTakedowns_std,Target_BaronTakedowns_mean,Target_BaronTakedowns_std,Target_RiftHeraldTakedowns_mean,Target_RiftHeraldTakedowns_std,Target_VoidMonsterTakedowns_mean,Target_VoidMonsterTakedowns_std,Target_TurretPlates_mean,Target_TurretPlates_std,Target_MaxCsAdvantage_mean,Target_MaxCsAdvantage_std,Target_SoloKills_mean,Target_SoloKills_std,Target_VisionScore_mean,Target_VisionScore_std,Target_WardsPlaced_mean,Target_WardsPlaced_std,Target_WardsKilled_mean,Target_WardsKilled_std,Target_ControlWardsPlaced_mean,Target_ControlWardsPlaced_std,Target_TimeCC_mean,Target_TimeCC_std,Target_TotalCC_mean,Target_TotalCC_std,Target_TotalHeal_mean,Target_TotalHeal_std,Target_HealOnTeammates_mean,Target_HealOnTeammates_std,Target_DamageShielded_mean,Target_DamageShielded_std,Target_DamageTaken_mean,Target_DamageTaken_std,Target_DamageMitigated_mean,Target_DamageMitigated_std,Target_KillParticipation_mean,Target_KillParticipation_std,Target_Team_Dragons_mean,Target_Team_Dragons_std,Target_Team_Barons_mean,Target_Team_Barons_std,Target_Team_Towers_mean,Target_Team_Towers_std,Target_Team_Inhibitors_mean,Target_Team_Inhibitors_std,Target_Team_RiftHeralds_mean,Target_Team_RiftHeralds_std,Target_Team_VoidGrubs_mean,Target_Team_VoidGrubs_std,Target_Team_ElderDragons_mean,Target_Team_ElderDragons_std,Target_JgCsBefore10_mean,Target_JgCsBefore10_std,Target_EnemyJgInvades_mean,Target_EnemyJgInvades_std,Games_Played
8,MIDDLE,232.0,140.0071426749364,115.0,118.79393923933998,6.5,10.606601717798213,543.5,396.6869042456532,-144.0,502.04581464244876,5.5,20.506096654409877,393.0,838.6286424872453,-819.0,258.8010819142764,6.5,7.7781745930520225,-123.5,624.3752877877215,-1069.5,461.7407281148155,1.0,21.213203435596427,5.0,4.242640687119285,83.0,15.556349186104045,929.5051230615284,109.97016771154694,34.04602064257896,9.231410725828335,890.1244943883567,93.19448195890976,5.296367112810708,7.490194202243736,276.41752129323834,100.35680285743373,390.76937532004456,250.9556218727255,203.0,5.656854249492381,10292.0,2530.0280630854672,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.5,0.7071067811865476,10.0,7.0710678118654755,18.0,12.727922061357855,1.5,0.7071067811865476,0.5898685057384866,0.1392548013367413,0.3631947609003058,0.027173289001301188,0.01912045889101335,0.02704041228246831,0.0,0.0,0.1256218847041026,0.03866712518033558,3.959391339888472,1.0025548435932359,1295.8531623923595,246.47010247508786,0.0,0.0,0.0,0.0,1196.9118814625508,157.41599263664773,525.7565265595858,113.70313981207529,0.48,0.14142135623730948,3.0,0.0,0.5,0.7071067811865476,6.5,3.5355339059327378,0.5,0.7071067811865476,1.0,0.0,1.5,2.1213203435596424,0.0,0.0,1.0,1.0,1.0,1.0,2
17,TOP,-242.0,1.0,-91.0,1.0,7.0,1.0,859.0,1.0,1495.0,1.0,12.0,1.0,1990.0,1.0,3186.0,1.0,38.0,1.0,3514.0,1.0,3234.0,1.0,44.0,1.0,4.0,1.0,59.0,1.0,701.9656019656019,1.0,154.98771498771498,1.0,515.8722358722358,1.0,31.105651105651106,1.0,419.7542997542997,1.0,470.2702702702703,1.0,154.0,1.0,9364.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,10.0,1.0,54.0,1.0,4.0,1.0,0.8353808353808353,1.0,0.3439803439803439,1.0,0.0491400491400491,1.0,0.0,1.0,1.3267813267813269,1.0,15.28255528255528,1.0,97.05159705159704,1.0,0.0,1.0,0.0,1.0,478.083538083538,1.0,283.1449631449631,1.0,0.62,1.0,3.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
29,BOTTOM,178.0,1.0,81.0,1.0,10.0,1.0,-258.0,1.0,225.0,1.0,14.0,1.0,170.0,1.0,662.0,1.0,35.0,1.0,1182.0,1.0,1206.0,1.0,56.0,1.0,1.0,1.0,91.0,1.0,363.5380835380835,1.0,299.3611793611793,1.0,14.692874692874692,1.0,49.43488943488944,1.0,276.3636363636363,1.0,276.3636363636363,1.0,207.0,1.0,7917.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,52.0,1.0,0.0,1.0,0.0982800982800982,1.0,0.0491400491400491,1.0,0.0,1.0,0.0,1.0,0.1474201474201474,1.0,6.6339066339066335,1.0,61.81818181818181,1.0,0.0,1.0,0.0,1.0,444.4226044226044,1.0,249.0909090909091,1.0,0.15,1.0,3.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
32,UTILITY,-182.0,1.0,229.0,1.0,1.0,1.0,-224.0,1.0,339.0,1.0,0.0,1.0,7.0,1.0,-90.0,1.0,-4.0,1.0,505.0,1.0,-885.0,1.0,-14.0,1.0,5.0,1.0,11.0,1.0,313.0783938814532,1.0,49.86615678776291,1.0,231.5105162523901,1.0,31.663479923518167,1.0,255.21988527724668,1.0,373.7284894837477,1.0,40.0,1.0,8681.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,12.0,1.0,3.0,1.0,0.0,1.0,2.294455066921606,1.0,0.9560229445506692,1.0,0.1147227533460803,1.0,0.0382409177820267,1.0,1.4531548757170172,1.0,3.67112810707457,1.0,70.7074569789675,1.0,7.495219885277247,1.0,0.0,1.0,669.0248565965584,1.0,630.0956022944551,1.0,0.46,1.0,3.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
51,BOTTOM,68.0,1.0,181.0,1.0,4.0,1.0,961.0,1.0,504.0,1.0,12.0,1.0,2691.0,1.0,1624.0,1.0,26.0,1.0,3292.0,1.0,1072.0,1.0,34.0,1.0,8.0,1.0,82.0,1.0,1107.189292543021,1.0,1056.6730401529635,1.0,48.489483747609945,1.0,2.026768642447419,1.0,634.110898661568,1.0,932.1988527724666,1.0,213.0,1.0,14289.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,14.0,1.0,44.0,1.0,1.0,1.0,0.7648183556405355,1.0,0.4206500956022945,1.0,0.0,1.0,0.0382409177820267,1.0,0.6118546845124283,1.0,2.447418738049713,1.0,167.03632887189295,1.0,0.0,1.0,0.0,1.0,530.019120458891,1.0,284.0917782026769,1.0,0.58,1.0,3.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
79,MIDDLE,-10.0,1.0,186.0,1.0,4.0,1.0,-236.0,1.0,657.0,1.0,2.0,1.0,400.0,1.0,1604.0,1.0,11.0,1.0,1302.0,1.0,2751.0,1.0,7.0,1.0,4.0,1.0,79.0,1.0,787.6038338658146,1.0,51.597444089456864,1.0,736.0063897763578,1.0,0.0,1.0,398.6261980830671,1.0,506.4217252396166,1.0,224.0,1.0,13051.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,17.0,1.0,16.0,1.0,2.0,1.0,1.0543130990415337,1.0,0.4472843450479233,1.0,0.0958466453674121,1.0,0.0,1.0,1.1501597444089458,1.0,10.447284345047922,1.0,372.4600638977636,1.0,0.0,1.0,0.0,1.0,1101.7252396166134,1.0,831.7571884984026,1.0,0.34,1.0,4.0,1.0,1.0,1.0,11.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
84,TOP,789.0,1.0,465.0,1.0,21.0,1.0,755.0,1.0,-12.0,1.0,17.0,1.0,1141.0,1.0,224.0,1.0,30.0,1.0,-173.0,1.0,52.0,1.0,27.0,1.0,2.0,1.0,63.0,1.0,869.8722044728435,1.0,68.21086261980831,1.0,753.1309904153354,1.0,48.49840255591055,1.0,423.19488817891374,1.0,590.3514376996804,1.0,231.0,1.0,12956.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,20.0,1.0,75.0,1.0,2.0,1.0,1.34185303514377,1.0,0.4792332268370607,1.0,0.1597444089456869,1.0,0.0319488817891373,1.0,0.0958466453674121,1.0,3.642172523961661,1.0,237.0926517571885,1.0,0.0,1.0,0.0,1.0,1075.814696485623,1.0,990.5750798722044,1.0,0.16,1.0,4.0,1.0,1.0,1.0,11.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
106,JUNGLE,-5.0,1.0,9.0,1.0,0.0,1.0,-549.0,1.0,-243.0,1.0,-1.0,1.0,387.0,1.0,486.0,1.0,-4.0,1.0,889.0,1.0,505.0,1.0,-14.0,1.0,5.0,1.0,1.0,1.0,846.1022364217253,1.0,395.6549520766773,1.0,431.7252396166134,1.0,18.690095846645367,1.0,116.2300319488818,1.0,1584.0575079872203,1.0,195.0,1.0,14536.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,9.0,1.0,6.75,1.0,0.0,1.0,0.5750798722044729,1.0,0.0319488817891373,1.0,0.0958466453674121,1.0,0.0,1.0,0.9584664536741214,1.0,16.869009584664536,1.0,408.370607028754,1.0,0.0,1.0,0.0,1.0,845.7507987220447,1.0,1407.1246006389777,1.0,0.53,1.0,4.0,1.0,1.0,1.0,11.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,60.0,1.0,21.0,1.0,1
107,JUNGLE,9.0,1.0,11.0,1.0,1.0,1.0,441.0,1.0,-131.0,1.0,-4.0,1.0,524.0,1.0,427.0,1.0,6.0,1.0,908.0,1.0,1814.0,1.0,22.0,1.0,4.0,1.0,1.0,1.0,464.4359464627152,1.0,390.8986615678776,1.0,17.743785850860423,1.0,55.75525812619503,1.0,60.91778202676865,1.0,1203.977055449331,1.0,226.0,1.0,12239.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,38.24999997019768,1.0,1.0,1.0,1.0707456978967496,1.0,0.0382409177820267,1.0,0.3824091778202677,1.0,0.0,1.0,0.3059273422562141,1.0,13.996175908221796,1.0,499.1969407265775,1.0,0.0,1.0,0.0,1.0,771.1663479923518,1.0,433.8049713193117,1.0,0.35,1.0,3.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,68.0,1.0,5.0,1.0,1
117,UTILITY,-35.0,1.0,19.0,1.0,5.0,1.0,-288.0,1.0,-186.0,1.0,4.0,1.0,-185.0,1.0,329.0,1.0,11.0,1.0,-157.0,1.0,161.0,1.0,5.0,1.0,2.0,1.0,19.0,1.0,186.8304668304668,1.0,47.27272727272727,1.0,139.017199017199,1.0,0.4914004914004913,1.0,78.37837837837837,1.0,95.33169533169531,1.0,32.0,1.0,5073.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,13.0,1.0,0.0,1.0,1.7199017199017197,1.0,0.7862407862407862,1.0,0.0982800982800982,1.0,0.0491400491400491,1.0,0.7862407862407862,1.0,7.076167076167076,1.0,115.03685503685504,1.0,41.17936117936117,1.0,101.08108108108108,1.0,250.6142506142506,1.0,229.7297297297297,1.0,0.23,1.0,3.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
143,JUNGLE,-199.0,1.0,406.0,1.0,12.0,1.0,622.0,1.0,622.0,1.0,15.0,1.0,821.0,1.0,598.0,1.0,27.0,1.0,1188.0,1.0,50.0,1.0,21.0,1.0,4.0,1.0,1.0,1.0,345.65110565110564,1.0,18.86977886977887,1.0,309.14004914004914,1.0,17.59213759213759,1.0,15.528255528255528,1.0,1993.513513513513,1.0,150.0,1.0,8441.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,36.00000002980232,1.0,0.0,1.0,0.8845208845208845,1.0,0.0491400491400491,1.0,0.2457002457002456,1.0,0.0491400491400491,1.0,0.7371007371007371,1.0,13.857493857493855,1.0,292.5307125307125,1.0,0.0,1.0,0.0,1.0,448.8452088452088,1.0,216.019656019656,1.0,0.62,1.0,3.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,66.0,1.0,4.0,1.0,1
221,BOTTOM,11.0,1.0,-56.0,1.0,-2.0,1.0,925.0,1.0,-65.0,1.0,4.0,1.0,2129.0,1.0,877.0,1.0,25.0,1.0,2409.0,1.0,559.0,1.0,22.0,1.0,5.0,1.0,92.0,1.0,1975.4313099041533,1.0,1579.0095846645368,1.0,318.2747603833866,1.0,78.1150159744409,1.0,444.7284345047924,1.0,730.9265175718849,1.0,290.0,1.0,20490.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,19.0,1.0,59.80000001192093,1.0,0.0,1.0,1.0862619808306708,1.0,0.3514376996805112,1.0,0.3194888178913738,1.0,0.0,1.0,0.1916932907348242,1.0,1.6932907348242812,1.0,262.9712460063898,1.0,0.0,1.0,0.0,1.0,1023.7699680511182,1.0,876.2300319488818,1.0,0.61,1.0,4.0,1.0,1.0,1.0,11.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
350,UTILITY,40.0,1.0,6.0,1.0,-3.0,1.0,683.0,1.0,330.0,1.0,-3.0,1.0,1076.0,1.0,1386.0,1.0,-10.0,1.0,883.0,1.0,942.0,1.0,-20.0,1.0,5.0,1.0,15.0,1.0,495.1437699680511,1.0,1.6613418530351438,1.0,466.29392971246006,1.0,27.156549520766774,1.0,43.9297124600639,1.0,81.43769968051119,1.0,24.0,1.0,11240.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,0.0,1.0,1.94888178913738,1.0,0.7987220447284344,1.0,0.1277955271565495,1.0,0.1277955271565495,1.0,0.9584664536741214,1.0,8.594249201277956,1.0,345.11182108626195,1.0,284.5047923322684,1.0,238.5303514376997,1.0,279.10543130990413,1.0,165.87859424920129,1.0,0.63,1.0,4.0,1.0,1.0,1.0,11.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
516,TOP,493.0,1.0,297.0,1.0,13.0,1.0,1044.0,1.0,349.0,1.0,18.0,1.0,1747.0,1.0,1377.0,1.0,19.0,1.0,1266.0,1.0,1509.0,1.0,23.0,1.0,4.0,1.0,91.0,1.0,553.8049713193117,1.0,192.39005736137668,1.0,361.376673040153,1.0,0.0,1.0,371.73996175908223,1.0,585.65965583174,1.0,221.0,1.0,10450.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,16.0,1.0,29.0,1.0,2.0,1.0,0.8030592734225622,1.0,0.3824091778202677,1.0,0.0,1.0,0.0,1.0,1.1089866156787764,1.0,16.290630975143404,1.0,160.53537284894838,1.0,0.0,1.0,0.0,1.0,964.8183556405354,1.0,1904.4741873804967,1.0,0.23,1.0,3.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
